DOB;AGE;GNDR;ADMIT;NATION;NATN_TYPE;CITIZENSHIP;RESIDENCY;COLLEGE;STUDENT_MAJOR;DIPLOMA_DESCRIPTION;CERT_DATE;STUDENT_LEVEL;SCHOOL;SCHOOL_CITY
2-Jun-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al-Thakafa Sec. Sch. G;Sharjah
10-Sep-87;24;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Al-Nouf Secondary G;SHARJAH
9-Dec-82;29;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Al-Falaj Adult Education Cernt;Sharjah
16-Sep-88;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;2-Jul-09;Diploma;Fatima Al Zahra' Secondary G.;SHARJAH
10-Sep-91;20;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Industrial;23-Jun-10;Diploma;Sharjah Institute ofTechnology;Sharjah
21-Dec-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Reffa'a Secondary G.;SHARJAH
22-Apr-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;14-Jun-07;Diploma;Rouqaya Sec. Sch. G.;Sharjah
13-Oct-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al-Dhaid;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Thaid Cenrte G;AL DHAID
25-Feb-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al-Dhaid;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Al-Ibda'a Girls' Sec.Sch.;Sharjah
31-May-86;25;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Al-Theid Adults Ed Center;
15-Feb-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al-Dhaid;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Al Ibda'a Private Secondary S.;
2-Nov-88;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;14-Jun-07;Diploma;Umm Omarah Secondary G.;KOR FAKAN
9-Feb-90;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;2-Jun-08;Diploma;Umm Omarah Secondary G.;KOR FAKAN
17-Jan-91;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
21-May-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Scientific;8-Jun-09;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
17-Nov-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;1-Jun-07;Diploma;Lubabah Bint AlHarith G.Sec.Sc;Fujairah
1-Jul-84;27;F;Fall 2010-2011;Pakistan;NON ARAB;Non Citizen;UAE-Kalba;Community;Business Administration;Secondary School -Literature;26-Aug-07;Diploma;Umm Al Mo'meneen Secondary;AL FUJAIRAH
9-Sep-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
;;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
31-May-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Scientific;14-Jun-07;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
13-Aug-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Fujairah;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Merbeh Secondary;MERBEH
12-Mar-90;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
5-Oct-91;20;F;Fall 2010-2011;Unknown;NON ARAB;Nil (No Official Documents);UAE-Kalba;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
13-Aug-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;26-Jun-08;Diploma;Bahithat Al Badyeh Secondary G;SHARJAH
8-Sep-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
14-Oct-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Scientific;14-Jun-07;Diploma;Umm Omarah Secondary G.;KOR FAKAN
23-Jul-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Fujairah;Community;Business Administration;Secondary School -Literature;2-Jul-09;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
28-Jun-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
22-Nov-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Sharjah Home School G.;Kalba
1-Jan-76;36;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
14-Jan-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
9-Apr-91;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Scientific;2-Jul-09;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
21-Mar-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
15-Jul-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
6-Jun-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
24-Aug-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Umm Omarah Secondary G.;KOR FAKAN
29-Oct-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;26-Jun-08;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
2-Apr-91;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Umm Omarah Secondary G.;KOR FAKAN
17-Feb-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
24-Jun-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Scientific;8-Jun-09;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
31-Mar-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Bahithat Al Badyeh Secondary G;SHARJAH
22-Jul-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
3-Jun-78;33;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Jumana Bint AbyThalib Adult C.;Sharjah
3-Jul-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Salamah Bint Buti Secondary G;ABU DHABI
7-Jun-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
28-Mar-90;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Umm Omarah Secondary G.;KOR FAKAN
29-Jun-88;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
8-May-90;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
8-Aug-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Scientific;3-Jun-08;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
2-Jul-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Literature;14-Jun-07;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
16-Feb-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
21-Feb-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
6-May-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Bahithat Al Badyeh Secondary G;SHARJAH
14-Dec-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
14-Mar-91;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
30-Nov-85;26;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;14-Jun-07;Diploma;Al Sharjah External Sec G;KOR FAKAN
1-Oct-84;27;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Al Sharjah External Sec G;KOR FAKAN
2-Mar-91;21;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Khalil Bin Ahmed Secondary;SHARJAH
15-Oct-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Umm Omarah Secondary G.;KOR FAKAN
2-Oct-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Umm Omarah Secondary G.;KOR FAKAN
2-May-68;44;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
3-Jun-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Bahithat Al Badyeh Secondary G;SHARJAH
4-Jul-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
28-Jun-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Fujairah;Community;Business Administration;Secondary School -Scientific;8-Jun-09;Diploma;Merbeh Girls' Sch. Sec. Edu.;AL FUJAIRAH
29-Oct-89;22;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;5-Jul-07;Diploma;King Faisal Boys' School;Sharjah
14-May-88;24;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;14-Jun-07;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
31-Jul-87;24;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Abdulla Bin Al Zubair Ctr;KOR FAKAN
20-Mar-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Umm Omarah Secondary G.;KOR FAKAN
27-Feb-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
3-Dec-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
30-Jan-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
19-Sep-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
22-Dec-89;22;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Al Mahmoud Secondary;KALBA
18-Jul-86;25;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;26-Jun-08;Diploma;Jumana Bint AbyThalib Adult C.;Sharjah
11-Jun-88;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;14-Jun-07;Diploma;Umm Omarah Secondary G.;KOR FAKAN
10-Sep-92;19;F;Fall 2010-2011;Unknown;NON ARAB;Nil (No Official Documents);UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
4-Jul-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
23-Sep-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
14-Jul-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Aisha Bint Othman Secondary;JA'LLAN
26-Dec-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
5-Aug-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
31-Mar-83;29;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;7-Jul-10;Diploma;Saif Al-Dawla Secondary;AL FUJAIRAH
4-Jul-91;20;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;2-Jul-09;Diploma;Al Khalil Bin Ahmed Secondary;SHARJAH
7-Sep-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;14-Jun-07;Diploma;Umm Omarah Secondary G.;KOR FAKAN
17-Oct-77;34;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Jumana Bint AbyThalib Adult C.;Sharjah
28-Mar-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Ajman;UAE-Ajman;Community;Business Administration;Secondary School -Literature;14-Jun-07;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
2-Aug-89;22;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;5-Jul-07;Diploma;Saif Al-Yarubi Sec .B. Sch.;Sharjah
10-Dec-91;20;M;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;8-Jun-09;Diploma;Saif Al Ya'roubi Secondary;AL FUJAIRAH
21-Jun-88;23;F;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Fujairah;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Emarites Pvt Secondary;AL FUJAIRAH
19-May-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Bahithat Al Badyeh Secondary G;SHARJAH
25-Apr-90;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakan;Community;Business Administration;Secondary School -Literature;3-Jun-08;Diploma;Bahithat Al Badyeh Secondary G;SHARJAH
25-Mar-90;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Business Administration;Secondary School -Literature;10-Jun-08;Diploma;Ajman Secondary G.;AJMAN
4-Sep-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Business Administration;Secondary School -Literature;21-Jun-10;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
27-Aug-89;22;F;Fall 2010-2011;Unknown;NON ARAB;Nil (No Official Documents);Oman-Muscat;Community;Dental Assistant;Secondary School -Scientific;7-Jul-07;Diploma;Tamadher Bint Amro Secondary;MOSANDAM
21-Aug-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Dental Hygiene;Secondary School -Scientific;2-Jul-09;Diploma;Fatima Al Zahra' Secondary G.;SHARJAH
23-Jul-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Dental Hygiene;Secondary School -Scientific;8-Jun-09;Diploma;Jameela Bou Hurraid Sec G;SHARJAH
3-Mar-92;20;F;Fall 2010-2011;Unknown;NON ARAB;Nil (No Official Documents);UAE-Khor Fakkan;Community;Dental Hygiene;Secondary School -Scientific;21-Jun-10;Diploma;Umm Omarah Secondary G.;KOR FAKAN
27-Feb-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Dental Laboratory Technology;Secondary School -Scientific;14-Jun-07;Diploma;Al Nouf Girls' School;Sharjah
8-Dec-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Dental Laboratory Technology;Secondary School -Scientific;8-Jun-09;Diploma;Umm Omarah Secondary G.;KOR FAKAN
18-Nov-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Dental Laboratory Technology;Secondary School -Scientific;8-Jun-09;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
25-Feb-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Dental Laboratory Technology;Secondary School -Scientific;21-Jun-10;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
22-Feb-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Community;Dental Laboratory Technology;Secondary School -Scientific;14-Jun-07;Diploma;Al Shifa Bint Abdulla Ctr;KALBA
18-Apr-88;24;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Community;Dental Laboratory Technology;Secondary School -Scientific;14-Jun-07;Diploma;Salma Bint Qais Secondary G;DABA AL HESSEN
4-Nov-92;19;F;Fall 2010-2011;Unknown;NON ARAB;Nil (No Official Documents);UAE-Sharjah;Community;Environmental Health & Safety;Secondary School -Scientific;21-Jun-10;Diploma;Fatima Al Zahra' Secondary G.;SHARJAH
21-Jul-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Community;Environmental Health & Safety;Secondary School -Scientific;8-Jun-09;Diploma;Umm Omarah Secondary G.;KOR FAKAN
29-Nov-89;22;F;Fall 2010-2011;Yemen;OTHER ARAB;Non Citizen;UAE-Umm Al-Quwain;Community;Information Technology;Secondary School -Literature;3-Jun-08;Diploma;Al-Mualla Secondary;UMM AL QUWAIN
29-Apr-88;24;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kor Fakan;Community;Information Technology;Secondary School -Literature;14-Jun-07;Diploma;Bahithat Al Badyeh Secondary G;SHARJAH
7-Jul-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Scientific;3-Jun-08;Diploma;Al Reffa'a Secondary G.;SHARJAH
14-Sep-91;20;F;Fall 2010-2011;Unknown;NON ARAB;Nil (No Official Documents);UAE-Sharjah;Community;Information Technology;Secondary School -Literature;8-Jun-09;Diploma;Al Reffa'a Secondary G.;SHARJAH
20-Mar-89;23;F;Fall 2010-2011;Unknown;NON ARAB;Nil (No Official Documents);-;Community;Information Technology;Secondary School -Literature;26-Jun-08;Diploma;Al Heerah Secondary G;SHARJAH
14-Mar-91;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;8-Jun-09;Diploma;Al-Mualla Secondary;UMM AL QUWAIN
11-Sep-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;21-Jun-10;Diploma;Al-Thumeed Sec.G.;Sharjah
1-Sep-89;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;18-Jun-07;Diploma;Al-Thakafa Sec. Sch. G;Sharjah
20-Aug-88;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;5-Jul-07;Diploma;Al-Thakafa Sec. Sch. G;Sharjah
15-Sep-90;21;F;Fall 2010-2011;Jordan;OTHER ARAB;Non Citizen;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;8-Jun-09;Diploma;Al Nour Intrnational Pvt B;SHARJAH - EMIRATE
16-Dec-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Melaiha;Community;Information Technology;Secondary School -Literature;21-Jun-10;Diploma;Al-Hilaleyaat Sec.Sch. G.;Sharjah
5-Apr-90;22;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;3-Jun-08;Diploma;Al Nouf Girls' School;Sharjah
13-Jul-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;21-Jun-10;Diploma;Al-Hilaleyaat Sec.Sch. G.;Sharjah
1-Feb-73;39;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;21-Jun-10;Diploma;Al-Falaj Adult Education Cernt;Sharjah
22-Sep-78;33;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Community;Information Technology;Secondary School -Literature;7-Jul-10;Diploma;Abd Al-Kareem Al-Bakri CentreB;Ajman
3-Jun-91;20;M;Fall 2010-2011;Yemen;OTHER ARAB;Non Citizen;UAE-Sharjah;Community;Information Technology;Secondary School -Scientific;2-Jul-09;Diploma;Al Khaleej Al Arabi Secondary;SHARJAH
23-Jan-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al-Dhaid;Community;Information Technology;Secondary School -Literature;7-Jul-10;Diploma;Al-Ibda'a Girls' Sec.Sch.;Sharjah
30-Aug-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al-Dhaid;Community;Information Technology;Secondary School -Literature;7-Jul-10;Diploma;Al-Ibda'a Girls' Sec.Sch.;Sharjah
20-Dec-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al-Dhaid;Community;Information Technology;Secondary School -Literature;7-Jul-10;Diploma;Al-Ibda'a Girls' Sec.Sch.;Sharjah
6-Jun-87;24;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al-Dhaid;Community;Information Technology;Secondary School -Literature;7-Jul-10;Diploma;Women Union Assoc School;SHARJAH
30-Aug-90;21;F;Fall 2010-2011;Unknown;NON ARAB;Nil (No Official Documents);UAE-Sharjah;Community;Information Technology;Secondary School -Literature;21-Jun-10;Diploma;Fatima Al Zahra' Secondary G.;SHARJAH
3-Apr-91;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Melaiha;Community;Information Technology;Secondary School -Literature;7-Jul-10;Diploma;Al-Hilaleyaat Sec.Sch. G.;Sharjah
1-Aug-91;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Melaiha;Community;Information Technology;Secondary School -Scientific;8-Jun-09;Diploma;Al-Ibda'a Girls' Sec.Sch.;Sharjah
